ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
48,Texas,TX,48153,Floyd County,48153,"Floyd County, Texas",992.142094240866,5386,0,2622,14,1938,127,1569,321,96,62,366,115,1003,145,1300,253,987,25,1413,41,835,130,205,85,324,146,3458,21,37,51,73,53,20,29,197,100,30,3,29.4,6.0,4.1,2.6,18.9,5.8,28.8,4.3,24.3,4.7,18.3,0.5,26.2,0.8,15.6,2.4,10.6,4.3,6.4,2.9,64.2,0.4,1.4,1.9,2.8,2.0,1.0,1.5,10.2,5.0,0.6,0.1,0.6917,0.419,0.3123,0.917,0.8972,3.2372,0.7589,0.5375,0.7628,0.5099,0.9051,0.8063,3.5216,0.9644,0.8103,0.8103,0.8103,0.3794,0.0277,0.087,0.9565,0.087,1.5376,0.1304,9.1067,0.6996,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,3,4703,466,101,141,61,3193,0,16,24,0,21,0,21,108,65,0,21,24.0,5.0,2.6,1.1,59.3,0.0,0.3,0.5,0.0,0.9,0.0,0.9,2.0,1.2,0.0,0.9
48,Texas,TX,48155,Foard County,48155,"Foard County, Texas",704.396238186362,1075,163,661,80,462,74,357,101,32,42,112,46,137,73,125,70,326,71,224,83,205,76,17,14,1,58,345,215,0,21,34,21,0,21,25,26,40,2,34.9,8.3,5.9,7.6,24.2,9.2,19.6,9.2,12.1,6.1,30.3,6.3,20.8,6.2,19.8,7.3,3.7,3.0,0.1,5.6,32.1,19.4,0.0,3.2,5.1,3.0,0.0,4.5,5.4,5.5,3.7,0.6,0.8814,0.7352,0.751,0.7115,0.1186,3.1977,0.747,0.9605,0.2016,0.8182,0.1621,0.0277,2.1701,0.2925,0.3083,0.3083,0.3083,0.0,0.087,0.0,0.6206,0.6957,1.4033,0.0949,7.0794,0.336,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,853,135,60,3,18,146,66,2,4,5,7,0,15,189,78,0,15,29.2,11.1,0.3,1.7,13.6,5.8,0.2,0.4,0.5,0.6,0.0,4.5,17.6,6.6,0.0,4.5
48,Texas,TX,48157,Fort Bend County,48157,"Fort Bend County, Texas",861.790628524596,832607,0,282291,101,270136,1304,104651,7001,22100,1630,56169,2583,45715,2607,97950,5265,97857,91,224909,140,60472,2690,16236,1456,39121,2499,580717,993,23746,1573,7921,854,9441,1080,7677,979,5890,57,12.7,0.8,5.2,0.4,20.8,1.0,8.5,0.5,11.8,0.6,11.8,0.1,27.0,0.1,7.3,0.3,6.0,0.5,5.0,0.3,69.7,0.1,8.4,0.6,2.8,0.3,3.5,0.4,2.8,0.4,0.7,0.0,0.0672,0.6008,0.4545,0.0751,0.0988,1.2964,0.0988,0.1067,0.8142,0.0119,0.4822,0.7391,2.1541,0.2767,0.8538,0.8538,0.8538,0.8577,0.0277,0.5099,0.1739,0.1107,1.6799,0.1739,5.9842,0.1542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660541,14973,1366,166340,2248,209110,0,175751,1340,885,257,374,144,25623,2728,2634,783,5.5,0.5,20.0,0.3,25.1,0.0,21.1,0.2,0.1,0.1,0.0,0.1,3.1,0.3,0.3,0.1
48,Texas,TX,48159,Franklin County,48159,"Franklin County, Texas",284.391124657268,10445,0,5143,28,3782,184,1202,338,331,158,616,179,623,157,1571,402,2304,85,2423,13,1693,269,143,68,214,136,2437,37,70,35,482,147,89,65,70,43,99,3,11.6,3.3,6.5,3.1,16.3,4.7,8.5,2.2,15.2,3.9,22.1,0.8,23.2,0.1,16.4,2.6,3.8,1.8,2.2,1.4,23.3,0.4,1.4,0.7,9.4,2.9,2.3,1.7,1.9,1.1,0.9,0.0,0.0395,0.7984,0.1818,0.0751,0.3162,1.411,0.1383,0.7589,0.4308,0.5968,0.1779,0.3281,2.2925,0.3834,0.1344,0.1344,0.1344,0.3794,0.2885,0.2332,0.0751,0.1818,1.158,0.0474,4.9959,0.0632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8888,370,139,474,89,1622,0,18,26,11,16,0,23,291,84,21,33,9.8,3.7,4.5,0.9,15.5,0.0,0.2,0.2,0.1,0.2,0.0,0.5,2.8,0.8,0.2,0.3
48,Texas,TX,48161,Freestone County,48161,"Freestone County, Texas",877.730258086332,19599,0,9080,26,6701,259,4652,675,255,155,1483,255,2084,309,2065,301,3893,70,4418,40,3603,371,466,132,240,137,7012,159,88,61,2140,305,210,104,224,85,1427,41,25.6,3.7,3.5,2.1,22.1,3.7,15.0,2.2,11.4,1.7,19.9,0.4,22.5,0.2,19.8,2.0,7.0,2.0,1.3,0.7,35.8,0.8,0.9,0.7,23.6,3.4,3.1,1.5,3.3,1.3,7.3,0.2,0.498,0.2964,0.5455,0.4783,0.083,1.9012,0.2885,0.6324,0.3557,0.8182,0.6206,0.1383,2.5652,0.5771,0.3439,0.3439,0.3439,0.2964,0.8814,0.4229,0.2727,0.83,2.7034,0.585,7.5137,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18201,1982,296,2935,159,3297,0,19,30,47,24,0,23,683,223,31,52,29.6,4.2,15.0,0.8,16.8,0.0,0.1,0.2,0.2,0.1,0.0,0.3,3.5,1.1,0.2,0.3
48,Texas,TX,48163,Frio County,48163,"Frio County, Texas",1133.500299401408,18151,0,6335,203,4709,416,4438,1037,183,112,1219,354,3515,550,2110,476,2290,0,4229,0,2238,416,416,265,1632,630,15389,293,72,68,1639,347,251,231,513,201,3403,617,30.2,6.9,2.6,1.5,25.9,7.2,30.0,4.2,14.3,3.1,12.6,0.0,23.3,0.0,15.1,2.8,8.8,5.6,9.6,3.7,84.8,1.6,1.1,1.1,25.9,5.5,5.4,4.9,10.9,4.3,18.7,3.4,0.7391,0.1739,0.8538,0.9407,0.253,2.9605,0.6996,0.1423,0.4427,0.4387,0.8103,0.9012,2.7352,0.6759,0.9328,0.9328,0.9328,0.3281,0.9289,0.7866,0.9763,0.9565,3.9764,0.996,10.6049,0.913,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,3,6,15648,1526,404,750,266,14415,0,96,56,14,22,0,23,113,83,1,2,32.4,7.3,4.1,1.5,79.4,0.0,0.5,0.3,0.1,0.1,0.0,0.3,0.6,0.5,0.0,0.1
48,Texas,TX,48165,Gaines County,48165,"Gaines County, Texas",1502.362444713634,21523,0,7583,52,6909,204,4593,900,311,210,1162,315,4622,508,6301,897,1911,46,7635,85,2598,418,491,240,1327,437,9859,28,100,85,1688,301,447,199,284,154,149,21,21.5,4.2,3.4,2.3,16.8,4.5,39.6,4.2,29.5,4.2,8.9,0.2,35.5,0.4,12.1,2.0,7.2,3.5,6.9,2.3,45.8,0.1,1.3,1.1,22.3,3.9,6.5,2.9,4.1,2.2,0.7,0.1,0.3083,0.2727,0.2055,0.9921,0.9802,2.7588,0.6126,0.0079,1.0,0.2016,0.6482,0.834,2.6917,0.6443,0.581,0.581,0.581,0.3518,0.8498,0.8656,0.4111,0.1107,2.589,0.5336,8.6205,0.6403,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,18774,1267,267,235,168,9174,0,185,140,103,90,0,28,128,128,34,55,18.3,3.8,1.1,0.8,42.6,0.0,0.9,0.7,0.5,0.4,0.0,0.2,0.6,0.6,0.2,0.3
48,Texas,TX,48167,Galveston County,48167,"Galveston County, Texas",379.4087480841,350801,0,156803,126,135275,952,63091,3191,10490,1104,34549,1698,24307,1354,47715,2848,52288,0,83776,0,44798,1940,8246,863,9985,1069,157450,871,20566,1313,5740,560,4136,522,7321,730,6019,56,18.3,0.9,5.9,0.6,25.5,1.2,10.3,0.6,13.8,0.8,14.9,0.0,23.9,0.0,12.9,0.6,6.1,0.6,3.0,100.0,44.9,0.2,13.1,0.8,3.7,0.4,3.1,0.4,5.4,0.5,1.7,0.0,0.1937,0.7352,0.8221,0.1502,0.2174,2.1186,0.3715,0.3043,0.5336,0.2609,0.4941,0.4862,2.0791,0.2253,0.5573,0.5573,0.5573,0.9407,0.0553,0.4229,0.6206,0.4704,2.5099,0.498,7.2649,0.3715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,308334,11768,1020,42169,1025,90909,0,11706,453,457,160,628,415,10123,1247,1458,485,8.7,0.8,12.0,0.3,25.9,0.0,3.3,0.1,0.1,0.1,0.2,0.1,2.9,0.4,0.4,0.1
48,Texas,TX,48169,Garza County,48169,"Garza County, Texas",893.415747589628,5735,328,2242,142,1677,157,1118,346,182,148,270,141,1248,249,711,334,963,197,884,203,787,186,52,48,760,213,3422,464,0,29,317,115,19,31,106,68,1391,72,26.0,7.8,9.9,7.6,16.1,8.3,30.0,5.4,16.3,7.3,16.8,3.6,15.4,3.2,18.1,4.4,3.1,2.8,13.6,3.8,59.7,7.3,0.0,1.3,14.1,5.3,1.1,1.8,6.3,4.1,24.3,1.9,0.5217,0.9605,0.1779,0.9407,0.415,3.0158,0.7154,0.4427,0.0198,0.7075,0.0949,0.9486,2.2135,0.332,0.7589,0.7589,0.7589,0.0,0.5099,0.1028,0.7549,0.9802,2.3478,0.4071,8.336,0.5968,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4,5904,282,122,532,204,2684,350,67,81,15,16,0,21,124,101,0,21,16.8,6.7,9.3,3.4,46.8,5.3,1.2,1.4,0.3,0.3,0.0,0.9,2.2,1.7,0.0,0.9
48,Texas,TX,48171,Gillespie County,48171,"Gillespie County, Texas",1058.201839095314,26953,0,14107,34,11035,409,3807,626,454,196,2848,484,2227,372,4776,659,7810,98,5362,63,3903,496,377,198,1158,407,7407,167,510,184,1788,315,456,188,610,199,336,6,14.3,2.4,3.5,1.5,25.8,4.3,11.3,1.9,17.9,2.5,29.0,0.4,19.9,0.2,14.7,1.9,3.5,1.8,4.5,1.6,27.5,0.6,3.6,1.3,12.7,2.2,4.1,1.7,5.5,1.8,1.2,0.0,0.087,0.2964,0.8498,0.2174,0.581,2.0316,0.3439,0.9486,0.1542,0.415,0.1344,0.6877,2.3399,0.415,0.2174,0.2174,0.2174,0.6719,0.4387,0.6364,0.6324,0.3162,2.6956,0.581,7.2845,0.3834,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,25718,1448,275,36,51,6574,0,81,60,85,88,0,28,565,213,66,67,13.1,2.4,0.1,0.2,24.4,0.0,0.3,0.2,0.3,0.3,0.0,0.2,2.1,0.8,0.2,0.3
