cbg,SVI_Texas,SVI_local,geometry
481130141264,0.06717226435536294,0.0626614987080103,"list(list(c(-97.01493, -97.011167, -97.00642, -97.006636, -97.006734, -96.999199, -96.998081, -96.993591, -96.993615, -96.996175, -97.000711, -97.00328, -97.01089, -97.010704, -97.010693, -97.011196, -97.013743, -97.014884, -97.015109, -97.01493, 32.973126, 32.973059, 32.969496, 32.96208, 32.954706, 32.954661, 32.954573, 32.954503, 32.947716, 32.948154, 32.948228, 32.948817, 32.948419, 32.949612, 32.956209, 32.957518, 32.959539, 32.961237, 32.964023, 32.973126)))"
481130206002,0.044528710725893816,0.036175710594315236,"list(list(c(-96.838533, -96.821126, -96.821215, -96.822084, -96.822183, -96.82502, -96.829147, -96.830831, -96.836441, -96.837257, -96.837772, -96.838596, -96.838533, 32.880322, 32.880245, 32.87095, 32.866525, 32.866562, 32.866784, 32.863953, 32.86344, 32.863957, 32.865436, 32.866869, 32.870038, 32.880322)))"
481130164061,0.5331527627302275,0.4444444444444444,"list(list(c(-97.015439, -97.012176, -97.007426, -97.00594, -97.006026, -97.006702, -97.009478, -97.015549, -97.015439, 32.709663, 32.70963, 32.709595, 32.709576, 32.704524, 32.703366, 32.703381, 32.703428, 32.709663)))"
481130147011,0.8302275189599133,0.7551679586563307,"list(list(c(-96.924392, -96.924042, -96.914912, -96.915139, -96.917144, -96.924577, -96.924392, 32.831155, 32.837006, 32.836925, 32.835459, 32.830682, 32.830722, 32.831155)))"
481130178171,0.2773564463705309,0.20219638242894056,"list(list(c(-96.614388, -96.61463, -96.612919, -96.611268, -96.611276, -96.615453, -96.614388, 32.807378, 32.810857, 32.810844, 32.8112, 32.805024, 32.805059, 32.807378)))"
481130166071,0.6665763813651138,0.5633074935400517,"list(list(c(-96.885579, -96.884189, -96.878814, -96.877765, -96.877547, -96.884473, -96.885366, -96.882592, -96.881433, -96.883778, -96.885185, -96.885579, 32.654825, 32.65708, 32.654715, 32.654271, 32.654169, 32.647512, 32.647509, 32.650179, 32.651994, 32.653892, 32.654626, 32.654825)))"
481130141212,0.26332611050920907,0.25839793281653745,"list(list(c(-96.959796, -96.959194, -96.95783, -96.954983, -96.952437, -96.951184, -96.95191, -96.949403, -96.947583, -96.947933, -96.948953, -96.953433, -96.957443, -96.957265, -96.959259, -96.959345, -96.959897, -96.959796, 32.962493, 32.9637, 32.963234, 32.96358, 32.967242, 32.966436, 32.96492, 32.958511, 32.95653, 32.955525, 32.955002, 32.954425, 32.955215, 32.957718, 32.959262, 32.959355, 32.960825, 32.962493)))"
481130100021,NA,NA,"list(list(c(-96.819093, -96.818496, -96.811913, -96.811424, -96.811653, -96.811315, -96.81043, -96.80893, -96.805387, -96.802037, -96.803469, -96.804258, -96.806479, -96.807124, -96.81252, -96.81546, -96.817685, -96.822425, -96.819093, 32.781129, 32.781325, 32.782324, 32.782411, 32.781157, 32.777649, 32.771637, 32.770598, 32.769056, 32.770094, 32.768143, 32.765662, 32.762944, 32.76331, 32.765287, 32.766939, 32.770207, 32.779989, 32.781129)))"
481130161002,NA,NA,"list(list(c(-97.023037, -97.02304, -97.016639, -97.01576, -97.014438, -97.014364, -97.020131, -97.019995, -97.020055, -97.020132, -97.023108, -97.023037, 32.740719, 32.741072, 32.741901, 32.742108, 32.739249, 32.737969, 32.737965, 32.730559, 32.729902, 32.729243, 32.731937, 32.740719)))"
481130078312,0.6975622968580715,0.6253229974160206,"list(list(c(-96.753298, -96.750139, -96.74975, -96.749436, -96.750392, -96.753814, -96.753298, 32.866515, 32.866059, 32.864432, 32.863781, 32.863763, 32.864412, 32.866515)))"
481130025002,0.8539003250270856,0.8191214470284238,"list(list(c(-96.746472, -96.737389, -96.73742, -96.73749, -96.737604, -96.744471, -96.744346, -96.746477, -96.746472, 32.791497, 32.791776, 32.785524, 32.78377, 32.783003, 32.782836, 32.791003, 32.791003, 32.791497)))"
481130065012,0.8352654387865656,0.8042635658914729,"list(list(c(-96.891457, -96.889942, -96.887746, -96.887676, -96.882592, -96.882538, -96.882072, -96.891481, -96.891457, 32.730632, 32.730627, 32.731724, 32.734985, 32.734969, 32.73189, 32.728344, 32.728343, 32.730632)))"
